,id,eigenval,mingap,c1,c2,k
0,erdos_0.25_0_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
1,erdos_0.25_1_k_1_c1_1_c2_1,3,2.0765549182281897,1.0,1.0,1.0
2,erdos_0.25_2_k_1_c1_1_c2_1,1,1.9022453272703315,1.0,1.0,1.0
3,erdos_0.25_3_k_1_c1_1_c2_1,3,2.6562649677242867,1.0,1.0,1.0
4,erdos_0.25_4_k_1_c1_1_c2_1,12,3.772134926498559,1.0,1.0,1.0
5,erdos_0.25_5_k_1_c1_1_c2_1,3,3.3467689890712515,1.0,1.0,1.0
6,erdos_0.25_6_k_1_c1_1_c2_1,3,3.3467689890712506,1.0,1.0,1.0
7,erdos_0.25_7_k_1_c1_1_c2_1,3,2.656264967724287,1.0,1.0,1.0
8,erdos_0.25_8_k_1_c1_1_c2_1,1,1.6004101720324089,1.0,1.0,1.0
9,erdos_0.25_9_k_1_c1_1_c2_1,5,3.2726913385720304,1.0,1.0,1.0
10,erdos_0.25_10_k_1_c1_1_c2_1,9,3.5513919685638564,1.0,1.0,1.0
11,erdos_0.25_11_k_1_c1_1_c2_1,3,3.3467689890712515,1.0,1.0,1.0
12,erdos_0.25_12_k_1_c1_1_c2_1,9,3.5513919685638466,1.0,1.0,1.0
13,erdos_0.25_13_k_1_c1_1_c2_1,1,1.6004101720324115,1.0,1.0,1.0
14,erdos_0.25_14_k_1_c1_1_c2_1,3,3.346768989071247,1.0,1.0,1.0
15,erdos_0.25_15_k_1_c1_1_c2_1,3,2.076554918228197,1.0,1.0,1.0
16,erdos_0.25_16_k_1_c1_1_c2_1,3,3.346768989071246,1.0,1.0,1.0
17,erdos_0.25_17_k_1_c1_1_c2_1,1,1.9022453272703324,1.0,1.0,1.0
18,erdos_0.25_18_k_1_c1_1_c2_1,1,1.902245327270343,1.0,1.0,1.0
19,erdos_0.25_19_k_1_c1_1_c2_1,3,3.346768989071249,1.0,1.0,1.0
20,erdos_0.25_20_k_1_c1_1_c2_1,3,3.3467689890712435,1.0,1.0,1.0
21,erdos_0.25_21_k_1_c1_1_c2_1,3,2.076554918228188,1.0,1.0,1.0
22,erdos_0.25_22_k_1_c1_1_c2_1,1,1.470072946263854,1.0,1.0,1.0
23,erdos_0.25_23_k_1_c1_1_c2_1,5,3.272691338572034,1.0,1.0,1.0
24,erdos_0.25_24_k_1_c1_1_c2_1,18,4.530243628123364,1.0,1.0,1.0
25,erdos_0.25_25_k_1_c1_1_c2_1,1,1.9022453272703244,1.0,1.0,1.0
26,erdos_0.25_26_k_1_c1_1_c2_1,3,2.6562649677242725,1.0,1.0,1.0
27,erdos_0.25_27_k_1_c1_1_c2_1,3,2.076554918228197,1.0,1.0,1.0
28,erdos_0.25_28_k_1_c1_1_c2_1,1,1.9100564211308182,1.0,1.0,1.0
29,erdos_0.25_29_k_1_c1_1_c2_1,3,3.346768989071246,1.0,1.0,1.0
30,erdos_0.25_30_k_1_c1_1_c2_1,9,3.5513919685638617,1.0,1.0,1.0
31,erdos_0.25_31_k_1_c1_1_c2_1,1,1.859444471845051,1.0,1.0,1.0
32,erdos_0.25_32_k_1_c1_1_c2_1,5,3.2726913385720455,1.0,1.0,1.0
33,erdos_0.25_33_k_1_c1_1_c2_1,3,3.346768989071249,1.0,1.0,1.0
34,erdos_0.25_34_k_1_c1_1_c2_1,3,3.3467689890712435,1.0,1.0,1.0
35,erdos_0.25_35_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
36,erdos_0.25_36_k_1_c1_1_c2_1,1,1.902245327270343,1.0,1.0,1.0
37,erdos_0.25_37_k_1_c1_1_c2_1,9,3.551391968563843,1.0,1.0,1.0
38,erdos_0.25_38_k_1_c1_1_c2_1,9,3.5513919685638564,1.0,1.0,1.0
39,erdos_0.25_39_k_1_c1_1_c2_1,3,2.07655491822819,1.0,1.0,1.0
40,erdos_0.25_40_k_1_c1_1_c2_1,9,3.551391968563862,1.0,1.0,1.0
41,erdos_0.25_41_k_1_c1_1_c2_1,1,1.9022453272703386,1.0,1.0,1.0
42,erdos_0.25_42_k_1_c1_1_c2_1,2,2.321658128756117,1.0,1.0,1.0
43,erdos_0.25_43_k_1_c1_1_c2_1,3,2.07655491822819,1.0,1.0,1.0
44,erdos_0.25_44_k_1_c1_1_c2_1,8,3.3626445591955596,1.0,1.0,1.0
45,erdos_0.25_45_k_1_c1_1_c2_1,3,2.6562649677243027,1.0,1.0,1.0
46,erdos_0.25_46_k_1_c1_1_c2_1,5,3.272691338572037,1.0,1.0,1.0
47,erdos_0.25_47_k_1_c1_1_c2_1,1,2.699066398972695,1.0,1.0,1.0
48,erdos_0.25_48_k_1_c1_1_c2_1,5,3.2726913385720375,1.0,1.0,1.0
49,erdos_0.25_49_k_1_c1_1_c2_1,12,3.7721349264985626,1.0,1.0,1.0
50,erdos_0.25_50_k_1_c1_1_c2_1,1,2.6990663989727004,1.0,1.0,1.0
51,erdos_0.25_51_k_1_c1_1_c2_1,5,3.272691338572046,1.0,1.0,1.0
52,erdos_0.25_52_k_1_c1_1_c2_1,1,1.9022453272703315,1.0,1.0,1.0
53,erdos_0.25_53_k_1_c1_1_c2_1,3,3.3467689890712435,1.0,1.0,1.0
54,erdos_0.25_54_k_1_c1_1_c2_1,3,3.3467689890712338,1.0,1.0,1.0
55,erdos_0.25_55_k_1_c1_1_c2_1,1,1.902245327270336,1.0,1.0,1.0
56,erdos_0.25_56_k_1_c1_1_c2_1,1,1.9022453272703244,1.0,1.0,1.0
57,erdos_0.25_57_k_1_c1_1_c2_1,5,3.2726913385720295,1.0,1.0,1.0
58,erdos_0.25_58_k_1_c1_1_c2_1,1,1.9022453272703146,1.0,1.0,1.0
59,erdos_0.25_59_k_1_c1_1_c2_1,3,2.076554918228188,1.0,1.0,1.0
60,erdos_0.25_60_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
61,erdos_0.25_61_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
62,erdos_0.25_62_k_1_c1_1_c2_1,6,3.3519133068347027,1.0,1.0,1.0
63,erdos_0.25_63_k_1_c1_1_c2_1,3,2.656264967724291,1.0,1.0,1.0
64,erdos_0.25_64_k_1_c1_1_c2_1,9,3.55139196856384,1.0,1.0,1.0
65,erdos_0.25_65_k_1_c1_1_c2_1,3,3.3467689890712435,1.0,1.0,1.0
66,erdos_0.25_66_k_1_c1_1_c2_1,1,1.902245327270336,1.0,1.0,1.0
67,erdos_0.25_67_k_1_c1_1_c2_1,3,2.0765549182281897,1.0,1.0,1.0
68,erdos_0.25_68_k_1_c1_1_c2_1,3,3.3467689890712506,1.0,1.0,1.0
69,erdos_0.25_69_k_1_c1_1_c2_1,1,1.9022453272703386,1.0,1.0,1.0
70,erdos_0.25_70_k_1_c1_1_c2_1,9,3.5513919685638475,1.0,1.0,1.0
71,erdos_0.25_71_k_1_c1_1_c2_1,3,2.656264967724277,1.0,1.0,1.0
72,erdos_0.25_72_k_1_c1_1_c2_1,3,3.346768989071247,1.0,1.0,1.0
73,erdos_0.25_73_k_1_c1_1_c2_1,1,1.9022453272703324,1.0,1.0,1.0
74,erdos_0.25_74_k_1_c1_1_c2_1,1,1.9022453272703315,1.0,1.0,1.0
75,erdos_0.25_75_k_1_c1_1_c2_1,3,3.346768989071246,1.0,1.0,1.0
76,erdos_0.25_76_k_1_c1_1_c2_1,1,2.6990663989726924,1.0,1.0,1.0
77,erdos_0.25_77_k_1_c1_1_c2_1,3,2.0765549182281866,1.0,1.0,1.0
78,erdos_0.25_78_k_1_c1_1_c2_1,3,2.076554918228201,1.0,1.0,1.0
79,erdos_0.25_79_k_1_c1_1_c2_1,1,1.9100564211308058,1.0,1.0,1.0
80,erdos_0.25_80_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
81,erdos_0.25_81_k_1_c1_1_c2_1,3,3.346768989071256,1.0,1.0,1.0
82,erdos_0.25_82_k_1_c1_1_c2_1,9,3.551391968563852,1.0,1.0,1.0
83,erdos_0.25_83_k_1_c1_1_c2_1,1,1.3061131052131927,1.0,1.0,1.0
84,erdos_0.25_84_k_1_c1_1_c2_1,5,3.272691338572034,1.0,1.0,1.0
85,erdos_0.25_85_k_1_c1_1_c2_1,5,3.272691338572046,1.0,1.0,1.0
86,erdos_0.25_86_k_1_c1_1_c2_1,5,3.2726913385720366,1.0,1.0,1.0
87,erdos_0.25_87_k_1_c1_1_c2_1,3,2.0765549182281937,1.0,1.0,1.0
88,erdos_0.25_88_k_1_c1_1_c2_1,1,1.9022453272703137,1.0,1.0,1.0
89,erdos_0.25_89_k_1_c1_1_c2_1,5,3.272691338572034,1.0,1.0,1.0
90,erdos_0.25_90_k_1_c1_1_c2_1,1,1.9022453272703324,1.0,1.0,1.0
91,erdos_0.25_91_k_1_c1_1_c2_1,3,2.654437428939083,1.0,1.0,1.0
92,erdos_0.25_92_k_1_c1_1_c2_1,1,3.3467689890712506,1.0,1.0,1.0
93,erdos_0.25_93_k_1_c1_1_c2_1,1,1.6004101720324195,1.0,1.0,1.0
94,erdos_0.25_94_k_1_c1_1_c2_1,1,1.9022453272703146,1.0,1.0,1.0
95,erdos_0.25_95_k_1_c1_1_c2_1,3,2.6562649677242915,1.0,1.0,1.0
96,erdos_0.25_96_k_1_c1_1_c2_1,9,3.5513919685638564,1.0,1.0,1.0
97,erdos_0.25_97_k_1_c1_1_c2_1,9,3.551391968563852,1.0,1.0,1.0
98,erdos_0.25_98_k_1_c1_1_c2_1,5,3.272691338572036,1.0,1.0,1.0
99,erdos_0.25_99_k_1_c1_1_c2_1,1,2.6990663989727013,1.0,1.0,1.0
